SampleID,Amplicon,Project
FAYE-ITS2-WM3,ITS2,Faye_Decomp
FAYE-ITS2-WM2,ITS2,Faye_Decomp
FAYE-ITS2-WM1,ITS2,Faye_Decomp
FAYE-ITS2-WD3,ITS2,Faye_Decomp
FAYE-ITS2-WD2,ITS2,Faye_Decomp
FAYE-ITS2-WD1,ITS2,Faye_Decomp
FAYE-ITS2-PM3,ITS2,Faye_Decomp
FAYE-ITS2-PM2,ITS2,Faye_Decomp
FAYE-ITS2-PM1,ITS2,Faye_Decomp
FAYE-ITS2-PD3,ITS2,Faye_Decomp
FAYE-ITS2-PD2,ITS2,Faye_Decomp
FAYE-ITS2-PD1,ITS2,Faye_Decomp
FAYE-ITS2-BM3,ITS2,Faye_Decomp
FAYE-ITS2-BM2,ITS2,Faye_Decomp
FAYE-ITS2-BM1,ITS2,Faye_Decomp
FAYE-ITS2-BD3,ITS2,Faye_Decomp
FAYE-ITS2-BD2,ITS2,Faye_Decomp
FAYE-ITS2-BD1,ITS2,Faye_Decomp
FAYE-ITS2-B2,ITS2,Faye_Decomp
FAYE-ITS2-B1,ITS2,Faye_Decomp
FAYE-16S-WM3,16S,Faye_Decomp
FAYE-16S-WM2,16S,Faye_Decomp
FAYE-16S-WM1,16S,Faye_Decomp
FAYE-16S-WD3,16S,Faye_Decomp
FAYE-16S-WD2,16S,Faye_Decomp
FAYE-16S-WD1,16S,Faye_Decomp
FAYE-16S-PM3,16S,Faye_Decomp
FAYE-16S-PM2,16S,Faye_Decomp
FAYE-16S-PM1,16S,Faye_Decomp
FAYE-16S-PD3,16S,Faye_Decomp
FAYE-16S-PD2,16S,Faye_Decomp
FAYE-16S-PD1,16S,Faye_Decomp
FAYE-16S-BM3,16S,Faye_Decomp
FAYE-16S-BM2,16S,Faye_Decomp
FAYE-16S-BM1,16S,Faye_Decomp
FAYE-16S-BD3,16S,Faye_Decomp
FAYE-16S-BD2,16S,Faye_Decomp
FAYE-16S-BD1,16S,Faye_Decomp
FAYE-16S-B2,16S,Faye_Decomp
FAYE-16S-B1,16S,Faye_Decomp
